,Card Name
5817,"Tevesh Szat, Doom of Fools"
5818,"Barrin, Master Wizard"
5819,"Birgi, God of Storytelling"
5820,Cloud of Faeries
5821,Dauthi Voidwalker
5822,Dockside Extortionist
5823,Dragon's Rage Channeler
5824,Gilded Drake
5825,Hullbreacher
5826,Phantasmal Image
5827,"Ragavan, Nimble Pilferer"
5828,Simian Spirit Guide
5829,Thassa's Oracle
5830,Demonic Tutor
5831,Diabolic Intent
5832,Gamble
5833,Imperial Seal
5834,Jeska's Will
5835,Peer into the Abyss
5836,Praetor's Grasp
5837,Reanimate
5838,Rite of Flame
5839,Timetwister
5840,Wheel of Fortune
5841,Wheel of Misfortune
5842,Windfall
5843,Yawgmoth's Will
5844,Ad Nauseam
5845,Brain Freeze
5846,Brainstorm
5847,Cabal Ritual
5848,Chain of Vapor
5849,Culling the Weak
5850,Dark Ritual
5851,Deflecting Swat
5852,Demonic Consultation
5853,Fierce Guardianship
5854,Flusterstorm
5855,Force of Will
5856,Mana Drain
5857,Mental Misstep
5858,Mystical Tutor
5859,Pact of Negation
5860,Pyroblast
5861,Rain of Filth
5862,Red Elemental Blast
5863,Snap
5864,Spell Pierce
5865,Swan Song
5866,Tainted Pact
5867,Unsubstantiate
5868,Vampiric Tutor
5869,Arcane Signet
5870,Chrome Mox
5871,Fellwar Stone
5872,Grim Monolith
5873,Jeweled Lotus
5874,Lion's Eye Diamond
5875,Lotus Petal
5876,Mana Crypt
5877,Mana Vault
5878,Mox Diamond
5879,Mox Opal
5880,Skullclamp
5881,Sol Ring
5882,Talisman of Creativity
5883,Talisman of Dominance
5884,Wishclaw Talisman
5885,Mystic Remora
5886,Rhystic Study
5887,Underworld Breach
5888,Ancient Tomb
5889,Arid Mesa
5890,Badlands
5891,Blood Crypt
5892,Bloodstained Mire
5893,City of Brass
5894,Command Tower
5895,Exotic Orchard
5896,Flooded Strand
5897,Gemstone Caverns
5898,Island
5899,Luxury Suite
5900,Mana Confluence
5901,Marsh Flats
5902,Misty Rainforest
5903,Morphic Pool
5904,Polluted Delta
5905,Scalding Tarn
5906,Spire of Industry
5907,Steam Vents
5908,Swamp
5909,Training Center
5910,Underground River
5911,Underground Sea
5912,Verdant Catacombs
5913,Volcanic Island
5914,Watery Grave
5915,Wooded Foothills
5916,"Tevesh Szat, Doom of Fools"
5917,"Thrasios, Triton Hero"
5918,Arbor Elf
5919,Birds of Paradise
5920,Bloom Tender
5921,Boreal Druid
5922,Deathrite Shaman
5923,Elves of Deep Shadow
5924,Elvish Mystic
5925,Eternal Witness
5926,Fyndhorn Elves
5927,Ghostly Pilferer
5928,Gilded Drake
5929,Hullbreacher
5930,Laboratory Maniac
5931,Llanowar Elves
5932,Opposition Agent
5933,"Razaketh, the Foulblooded"
5934,Seedborn Muse
5935,Spellseeker
5936,Thassa's Oracle
5937,"Vilis, Broker of Blood"
5938,Buried Alive
5939,Demonic Tutor
5940,Diabolic Intent
5941,Eldritch Evolution
5942,Gitaxian Probe
5943,Imperial Seal
5944,Life // Death
5945,Neoform
5946,Praetor's Grasp
5947,Reanimate
5948,Timetwister
5949,Yawgmoth's Will
5950,Abrupt Decay
5951,Assassin's Trophy
5952,Brainstorm
5953,Cyclonic Rift
5954,Dark Ritual
5955,Demonic Consultation
5956,Entomb
5957,Fierce Guardianship
5958,Flusterstorm
5959,Force of Will
5960,Lim-Dûl's Vault
5961,Mana Drain
5962,Mental Misstep
5963,Miscast
5964,Mystical Tutor
5965,Nature's Claim
5966,Noxious Revival
5967,Pact of Negation
5968,Swan Song
5969,Tainted Pact
5970,Vampiric Tutor
5971,Veil of Summer
5972,Chrome Mox
5973,Jeweled Lotus
5974,Lion's Eye Diamond
5975,Mana Crypt
5976,Mana Vault
5977,Mox Diamond
5978,Sol Ring
5979,Animate Dead
5980,Carpet of Flowers
5981,Dance of the Dead
5982,Mystic Remora
5983,Necromancy
5984,Rhystic Study
5985,Survival of the Fittest
5986,Sylvan Library
5987,Training Grounds
5988,Ancient Tomb
5989,Bayou
5990,Bloodstained Mire
5991,Breeding Pool
5992,Cephalid Coliseum
5993,City of Brass
5994,Command Tower
5995,Exotic Orchard
5996,Flooded Strand
5997,Forbidden Orchard
5998,Gaea's Cradle
5999,Gemstone Caverns
6000,Mana Confluence
6001,Marsh Flats
6002,Misty Rainforest
6003,Morphic Pool
6004,Overgrown Tomb
6005,Polluted Delta
6006,Rejuvenating Springs
6007,Scalding Tarn
6008,Snow-Covered Island
6009,Tropical Island
6010,Underground Sea
6011,Undergrowth Stadium
6012,Verdant Catacombs
6013,Watery Grave
6014,"Thrasios, Triton Hero"
6015,Tymna the Weaver
6016,Avacyn's Pilgrim
6017,Birds of Paradise
6018,Bloom Tender
6019,Dark Confidant
6020,Deathrite Shaman
6021,Drannith Magistrate
6022,Elves of Deep Shadow
6023,Gilded Drake
6024,Hullbreacher
6025,Laboratory Maniac
6026,Noble Hierarch
6027,Notion Thief
6028,Opposition Agent
6029,Thassa's Oracle
6030,Demonic Tutor
6031,Gitaxian Probe
6032,Imperial Seal
6033,Neoform
6034,Ponder
6035,Preordain
6036,Timetwister
6037,Windfall
6038,Yawgmoth's Will
6039,Abrupt Decay
6040,Ad Nauseam
6041,Assassin's Trophy
6042,Brainstorm
6043,Chain of Vapor
6044,Cyclonic Rift
6045,Dark Ritual
6046,Delay
6047,Demonic Consultation
6048,Dispel
6049,Dovin's Veto
6050,Dramatic Reversal
6051,Enlightened Tutor
6052,Fierce Guardianship
6053,Flusterstorm
6054,Force of Negation
6055,Force of Will
6056,Lim-Dûl's Vault
6057,Mana Drain
6058,Mental Misstep
6059,Miscast
6060,Mystical Tutor
6061,Noxious Revival
6062,Pact of Negation
6063,Silence
6064,Spell Pierce
6065,Swan Song
6066,Tainted Pact
6067,Vampiric Tutor
6068,Veil of Summer
6069,Arcane Signet
6070,Chrome Mox
6071,Fellwar Stone
6072,Grim Monolith
6073,Isochron Scepter
6074,Lotus Petal
6075,Mana Crypt
6076,Mana Vault
6077,Mox Diamond
6078,Sol Ring
6079,Carpet of Flowers
6080,Mystic Remora
6081,Necropotence
6082,Rhystic Study
6083,Smothering Tithe
6084,Sylvan Library
6085,Ancient Tomb
6086,Bayou
6087,Bloodstained Mire
6088,Breeding Pool
6089,City of Brass
6090,Command Tower
6091,Exotic Orchard
6092,Flooded Strand
6093,Forbidden Orchard
6094,Gemstone Caverns
6095,Mana Confluence
6096,Marsh Flats
6097,Misty Rainforest
6098,Morphic Pool
6099,Nurturing Peatland
6100,Polluted Delta
6101,Rejuvenating Springs
6102,Savannah
6103,Scalding Tarn
6104,Snow-Covered Island
6105,Tarnished Citadel
6106,Tropical Island
6107,Tundra
6108,Underground Sea
6109,Verdant Catacombs
6110,Waterlogged Grove
6111,"Ikra Shidiqi, the Usurper"
6112,"Rograkh, Son of Rohgahh"
6113,"Birgi, God of Storytelling"
6114,Deathrite Shaman
6115,Dockside Extortionist
6116,Doom Whisperer
6117,Dualcaster Mage
6118,Elvish Spirit Guide
6119,Goblin Welder
6120,Orcish Lumberjack
6121,Simian Spirit Guide
6122,Tinder Wall
6123,Witherbloom Apprentice
6124,Chain of Smog
6125,Culling Ritual
6126,Demonic Tutor
6127,Diabolic Intent
6128,Eldritch Evolution
6129,Faithless Looting
6130,Gamble
6131,Imperial Seal
6132,Infernal Plunge
6133,Jeska's Will
6134,Mizzix's Mastery
6135,Peer into the Abyss
6136,Praetor's Grasp
6137,Reanimate
6138,Rite of Flame
6139,Shatterskull Smashing
6140,Twinflame
6141,Wheel of Fortune
6142,Wheel of Misfortune
6143,Abrupt Decay
6144,Ad Nauseam
6145,Cabal Ritual
6146,Crop Rotation
6147,Culling the Weak
6148,Dark Ritual
6149,Deflecting Swat
6150,Entomb
6151,Final Fortune
6152,Manamorphose
6153,Noxious Revival
6154,Pyroblast
6155,Rain of Filth
6156,Red Elemental Blast
6157,Tainted Pact
6158,Vampiric Tutor
6159,Veil of Summer
6160,Worldly Tutor
6161,Arcane Signet
6162,Bolas's Citadel
6163,Chrome Mox
6164,Defense Grid
6165,Fellwar Stone
6166,Grim Monolith
6167,Grinding Station
6168,Jeweled Lotus
6169,Lion's Eye Diamond
6170,Lotus Petal
6171,Mana Crypt
6172,Mana Vault
6173,Mox Amber
6174,Mox Diamond
6175,Mox Opal
6176,Sol Ring
6177,Springleaf Drum
6178,Talisman of Indulgence
6179,Wishclaw Talisman
6180,Carpet of Flowers
6181,Necropotence
6182,Sylvan Library
6183,Underworld Breach
6184,Ancient Tomb
6185,Arid Mesa
6186,Badlands
6187,Bayou
6188,Blood Crypt
6189,Bloodstained Mire
6190,City of Brass
6191,Command Tower
6192,Emergence Zone
6193,Exotic Orchard
6194,Gemstone Caverns
6195,Graven Cairns
6196,Luxury Suite
6197,Mana Confluence
6198,Marsh Flats
6199,Misty Rainforest
6200,Overgrown Tomb
6201,Phyrexian Tower
6202,Polluted Delta
6203,Scalding Tarn
6204,Spire of Industry
6205,Stomping Ground
6206,Taiga
6207,Undergrowth Stadium
6208,Verdant Catacombs
6209,Windswept Heath
6210,Wooded Foothills
6211,City of Traitors
6212,Stitcher's Supplier
6213,Thran Quarry
6214,"Rograkh, Son of Rohgahh"
6215,"Marath, Will of the Wild"
6216,Academy Rector
6217,Arbor Elf
6218,Archon of Emeria
6219,Avacyn's Pilgrim
6220,Aven Mindcensor
6221,Birds of Paradise
6222,Bloom Tender
6223,Collector Ouphe
6224,Conclave Mentor
6225,Cryptic Trilobite
6226,Dockside Extortionist
6227,Drannith Magistrate
6228,Eidolon of Rhetoric
6229,Elvish Mystic
6230,Emiel the Blessed
6231,Endurance
6232,Esper Sentinel
6233,Eternal Witness
6234,Ethersworn Canonist
6235,Felidar Guardian
6236,Fyndhorn Elves
6237,Goblin Sharpshooter
6238,Imperial Recruiter
6239,Karmic Guide
6240,"Kiki-Jiki, Mirror Breaker"
6241,"Linvala, Keeper of Silence"
6242,Llanowar Elves
6243,Nightshade Peddler
6244,Ohran Frostfang
6245,Runic Armasaur
6246,Skyclave Apparition
6247,"Thalia, Guardian of Thraben"
6248,"Toski, Bearer of Secrets"
6249,Village Bell-Ringer
6250,Eldritch Evolution
6251,Finale of Devastation
6252,Gamble
6253,Chord of Calling
6254,Crop Rotation
6255,Deflecting Swat
6256,Eladamri's Call
6257,Enlightened Tutor
6258,Pyroblast
6259,Red Elemental Blast
6260,Silence
6261,Swords to Plowshares
6262,Tibalt's Trickery
6263,Veil of Summer
6264,Worldly Tutor
6265,Birthing Pod
6266,Chrome Mox
6267,Mana Crypt
6268,Mox Diamond
6269,Null Rod
6270,Sol Ring
6271,Trinisphere
6272,Carpet of Flowers
6273,Deafening Silence
6274,Earthcraft
6275,Living Plane
6276,Rest in Peace
6277,Rule of Law
6278,Stony Silence
6279,Survival of the Fittest
6280,Sylvan Library
6281,Unbound Flourishing
6282,Utopia Sprawl
6283,Wild Growth
6284,Arid Mesa
6285,Bloodstained Mire
6286,City of Brass
6287,Command Tower
6288,Exotic Orchard
6289,Flooded Strand
6290,Forbidden Orchard
6291,Forest
6292,Gaea's Cradle
6293,Horizon Canopy
6294,Mana Confluence
6295,Marsh Flats
6296,Misty Rainforest
6297,Mountain
6298,Plains
6299,"Kenrith, the Returned King"
6300,Arbor Elf
6301,Avacyn's Pilgrim
6302,Birds of Paradise
6303,Dauthi Voidwalker
6304,Deathrite Shaman
6305,Dockside Extortionist
6306,Drannith Magistrate
6307,Elves of Deep Shadow
6308,Elvish Mystic
6309,Emiel the Blessed
6310,Ghostly Pilferer
6311,Gilded Drake
6312,Hullbreacher
6313,Ignoble Hierarch
6314,Llanowar Elves
6315,Noble Hierarch
6316,Opposition Agent
6317,Phantasmal Image
6318,"Ragavan, Nimble Pilferer"
6319,Ranger-Captain of Eos
6320,"Razaketh, the Foulblooded"
6321,Spellseeker
6322,Thassa's Oracle
6323,Worldgorger Dragon
6324,Demonic Tutor
6325,Diabolic Intent
6326,Gamble
6327,Imperial Seal
6328,Life // Death
6329,Neoform
6330,Reanimate
6331,Sevinne's Reclamation
6332,Wheel of Fortune
6333,Windfall
6334,Abrupt Decay
6335,Assassin's Trophy
6336,Brain Freeze
6337,Brainstorm
6338,Demonic Consultation
6339,Dispel
6340,Enlightened Tutor
6341,Entomb
6342,Flusterstorm
6343,Force of Will
6344,Intuition
6345,Lim-Dûl's Vault
6346,Mana Drain
6347,Mental Misstep
6348,Mystical Tutor
6349,Pact of Negation
6350,Silence
6351,Swan Song
6352,Tainted Pact
6353,Vampiric Tutor
6354,Veil of Summer
6355,Chrome Mox
6356,Lion's Eye Diamond
6357,Mana Crypt
6358,Mox Diamond
6359,Sol Ring
6360,Animate Dead
6361,Carpet of Flowers
6362,Dance of the Dead
6363,Mystic Remora
6364,Necromancy
6365,Rhystic Study
6366,Smothering Tithe
6367,Survival of the Fittest
6368,Sylvan Library
6369,Underworld Breach
6370,Ancient Tomb
6371,Badlands
6372,Bayou
6373,Bloodstained Mire
6374,City of Brass
6375,Command Tower
6376,Exotic Orchard
6377,Flooded Strand
6378,Forbidden Orchard
6379,Forest
6380,Gaea's Cradle
6381,Gemstone Caverns
6382,Hallowed Fountain
6383,Mana Confluence
6384,Marsh Flats
6385,Misty Rainforest
6386,Morphic Pool
6387,Polluted Delta
6388,Savannah
6389,Scalding Tarn
6390,Tarnished Citadel
6391,Tropical Island
6392,Tundra
6393,Underground Sea
6394,Verdant Catacombs
6395,Volcanic Island
6396,"Omnath, Locus of Creation"
6397,Avacyn's Pilgrim
6398,Birds of Paradise
6399,"Birgi, God of Storytelling"
6400,Bloom Tender
6401,Destiny Spinner
6402,Dockside Extortionist
6403,Drannith Magistrate
6404,Emiel the Blessed
6405,Eternal Witness
6406,Grand Abolisher
6407,Hullbreacher
6408,Lore Drakkis
6409,Noble Hierarch
6410,Phantasmal Image
6411,Spellseeker
6412,Vexing Shusher
6413,Eldritch Evolution
6414,Finale of Devastation
6415,Gamble
6416,Gitaxian Probe
6417,Merchant Scroll
6418,Neoform
6419,Ponder
6420,Sevinne's Reclamation
6421,Timetwister
6422,Wheel of Fortune
6423,Wheel of Misfortune
6424,Windfall
6425,Brain Freeze
6426,Brainstorm
6427,Chain of Vapor
6428,Crop Rotation
6429,Eladamri's Call
6430,Enlightened Tutor
6431,Ephemerate
6432,Final Fortune
6433,Flusterstorm
6434,Force of Negation
6435,Force of Will
6436,Intuition
6437,Mana Drain
6438,Mental Misstep
6439,Miscast
6440,Muddle the Mixture
6441,Mystical Tutor
6442,Noxious Revival
6443,Pact of Negation
6444,Red Elemental Blast
6445,Silence
6446,Snap
6447,Swan Song
6448,Unsubstantiate
6449,Veil of Summer
6450,Winds of Rebuke
6451,Worldly Tutor
6452,Arcane Signet
6453,Chrome Mox
6454,Cloudstone Curio
6455,Fellwar Stone
6456,Lion's Eye Diamond
6457,Lotus Petal
6458,Mana Crypt
6459,Mox Diamond
6460,Sol Ring
6461,Carpet of Flowers
6462,Mystic Remora
6463,Rhystic Study
6464,Smothering Tithe
6465,Sylvan Library
6466,Underworld Breach
6467,Arid Mesa
6468,Bloodstained Mire
6469,Breeding Pool
6470,City of Brass
6471,Command Tower
6472,Exotic Orchard
6473,Flooded Strand
6474,Gaea's Cradle
6475,Gemstone Caverns
6476,Hallowed Fountain
6477,Horizon Canopy
6478,Mana Confluence
6479,Marsh Flats
6480,Misty Rainforest
6481,Polluted Delta
6482,Rejuvenating Springs
6483,Savannah
6484,Scalding Tarn
6485,Steam Vents
6486,Stomping Ground
6487,Taiga
6488,Temple Garden
6489,Tropical Island
6490,Tundra
6491,Verdant Catacombs
6492,Volcanic Island
6493,Waterlogged Grove
6494,"Tana, the Bloodsower"
6495,Tymna the Weaver
6496,Deathrite Shaman
6497,Dockside Extortionist
6498,Dragon's Rage Channeler
6499,Dualcaster Mage
6500,Elvish Spirit Guide
6501,Esper Sentinel
6502,Goblin Welder
6503,Grand Abolisher
6504,Leonin Relic-Warder
6505,Mayhem Devil
6506,Opposition Agent
6507,"Ragavan, Nimble Pilferer"
6508,Ranger-Captain of Eos
6509,Simian Spirit Guide
6510,Stitcher's Supplier
6511,Tinder Wall
6512,Culling Ritual
6513,Demonic Tutor
6514,Diabolic Intent
6515,Gamble
6516,Imperial Seal
6517,Jeska's Will
6518,Mizzix's Mastery
6519,Peer into the Abyss
6520,Praetor's Grasp
6521,Reanimate
6522,Rite of Flame
6523,Sevinne's Reclamation
6524,Shatterskull Smashing
6525,Twinflame
6526,Wheel of Fortune
6527,Wheel of Misfortune
6528,Abrupt Decay
6529,Ad Nauseam
6530,Cabal Ritual
6531,Culling the Weak
6532,Dark Ritual
6533,Deflecting Swat
6534,Enlightened Tutor
6535,Entomb
6536,Manamorphose
6537,Nature's Claim
6538,Noxious Revival
6539,Pyroblast
6540,Rain of Filth
6541,Silence
6542,Tainted Pact
6543,Vampiric Tutor
6544,Veil of Summer
6545,Worldly Tutor
6546,Arcane Signet
6547,Bolas's Citadel
6548,Chrome Mox
6549,Fellwar Stone
6550,Grim Monolith
6551,Grinding Station
6552,Jeweled Lotus
6553,Lion's Eye Diamond
6554,Lotus Petal
6555,Mana Crypt
6556,Mana Vault
6557,Mox Amber
6558,Mox Diamond
6559,Mox Opal
6560,Sol Ring
6561,Talisman of Indulgence
6562,Wishclaw Talisman
6563,Animate Dead
6564,Carpet of Flowers
6565,Necromancy
6566,Underworld Breach
6567,Ancient Tomb
6568,Arid Mesa
6569,Badlands
6570,Bayou
6571,Blood Crypt
6572,Bloodstained Mire
6573,City of Brass
6574,Command Tower
6575,Exotic Orchard
6576,Flooded Strand
6577,Gemstone Caverns
6578,Godless Shrine
6579,Luxury Suite
6580,Mana Confluence
6581,Marsh Flats
6582,Misty Rainforest
6583,Plateau
6584,Polluted Delta
6585,Savannah
6586,Scalding Tarn
6587,Scrubland
6588,"Shizo, Death's Storehouse"
6589,Spire of Industry
6590,Taiga
6591,Verdant Catacombs
6592,Windswept Heath
6593,Wooded Foothills
6594,Assassin's Trophy
6595,Damn
6596,Loyal Apprentice
6597,Overgrown Tomb
6598,Red Elemental Blast
6599,Serra Ascendant
6600,Skyclave Apparition
6601,Talisman of Hierarchy
6602,Elvish Spirit Guide
6603,Simian Spirit Guide
6604,Noxious Revival
6605,"Tasigur, the Golden Fang"
6606,Birds of Paradise
6607,Deathrite Shaman
6608,Elvish Spirit Guide
6609,Hullbreacher
6610,Lotus Cobra
6611,Notion Thief
6612,Thassa's Oracle
6613,Culling Ritual
6614,Demonic Tutor
6615,Diabolic Intent
6616,Energy Tap
6617,Gitaxian Probe
6618,Imperial Seal
6619,Peer into the Abyss
6620,Praetor's Grasp
6621,Summer Bloom
6622,Timetwister
6623,Windfall
6624,Yawgmoth's Will
6625,Abrupt Decay
6626,Ad Nauseam
6627,Brainstorm
6628,Cabal Ritual
6629,Chain of Vapor
6630,Crop Rotation
6631,Culling the Weak
6632,Dark Ritual
6633,Demonic Consultation
6634,Dispel
6635,Dramatic Reversal
6636,Flusterstorm
6637,Force of Negation
6638,Force of Will
6639,Mental Misstep
6640,Miscast
6641,Mystical Tutor
6642,Nature's Claim
6643,Noxious Revival
6644,Pact of Negation
6645,Rain of Filth
6646,Rushing River
6647,Sacrifice
6648,Spell Pierce
6649,Summoner's Pact
6650,Swan Song
6651,Tainted Pact
6652,Vampiric Tutor
6653,Veil of Summer
6654,Arcane Signet
6655,Chrome Mox
6656,Dimir Signet
6657,Fellwar Stone
6658,Grim Monolith
6659,Isochron Scepter
6660,Jeweled Lotus
6661,Lotus Petal
6662,Mana Crypt
6663,Mana Vault
6664,Mox Diamond
6665,Mox Opal
6666,Simic Signet
6667,Sol Ring
6668,Talisman of Curiosity
6669,Talisman of Dominance
6670,Wishclaw Talisman
6671,Carpet of Flowers
6672,Exploration
6673,Mystic Remora
6674,Rhystic Study
6675,Squandered Resources
6676,Ancient Tomb
6677,Bayou
6678,Bloodstained Mire
6679,Breeding Pool
6680,City of Brass
6681,Command Tower
6682,Darkslick Shores
6683,Exotic Orchard
6684,Flooded Strand
6685,Gemstone Caverns
6686,Mana Confluence
6687,Marsh Flats
6688,Misty Rainforest
6689,Morphic Pool
6690,Phyrexian Tower
6691,Polluted Delta
6692,Rejuvenating Springs
6693,Scalding Tarn
6694,Snow-Covered Island
6695,Spire of Industry
6696,Sunken Ruins
6697,Tropical Island
6698,Underground River
6699,Underground Sea
6700,Undergrowth Stadium
6701,Verdant Catacombs
6702,Watery Grave
6703,Windswept Heath
6704,Wooded Foothills
6705,"Jorn, God of Winter"
6706,Tezzeret the Seeker
6707,Birds of Paradise
6708,Boreal Druid
6709,Collector Ouphe
6710,Dauthi Voidwalker
6711,Deathrite Shaman
6712,Elvish Mystic
6713,Endurance
6714,Fyndhorn Elves
6715,Gilded Drake
6716,Hullbreacher
6717,Llanowar Elves
6718,Opposition Agent
6719,Phantasmal Image
6720,Seedborn Muse
6721,Spellseeker
6722,Thassa's Oracle
6723,Witherbloom Apprentice
6724,Chain of Smog
6725,Culling Ritual
6726,Demonic Tutor
6727,Imperial Seal
6728,Mnemonic Betrayal
6729,Peer into the Abyss
6730,Praetor's Grasp
6731,Timetwister
6732,Windfall
6733,Abrupt Decay
6734,Ad Nauseam
6735,Assassin's Trophy
6736,Brainstorm
6737,Cyclonic Rift
6738,Demonic Consultation
6739,Dispel
6740,Fierce Guardianship
6741,Flusterstorm
6742,Force of Negation
6743,Force of Will
6744,Mana Drain
6745,Mental Misstep
6746,Mystical Tutor
6747,Pact of Negation
6748,Swan Song
6749,Vampiric Tutor
6750,Veil of Summer
6751,Arcane Signet
6752,Chrome Mox
6753,Grim Monolith
6754,Jeweled Lotus
6755,Lotus Petal
6756,Mana Crypt
6757,Mana Vault
6758,Mox Diamond
6759,Mox Opal
6760,Null Rod
6761,Sol Ring
6762,Sphere of Resistance
6763,Static Orb
6764,Tangle Wire
6765,Thorn of Amethyst
6766,Trinisphere
6767,Weathered Runestone
6768,Winter Orb
6769,Back to Basics
6770,Carpet of Flowers
6771,Mystic Remora
6772,Rhystic Study
6773,Root Maze
6774,Stasis
6775,Sylvan Library
6776,Ancient Tomb
6777,Bayou
6778,Breeding Pool
6779,Cephalid Coliseum
6780,Command Tower
6781,Ice Tunnel
6782,Misty Rainforest
6783,Overgrown Tomb
6784,Polluted Delta
6785,Rimewood Falls
6786,Snow-Covered Forest
6787,Snow-Covered Island
6788,Snow-Covered Swamp
6789,Tropical Island
6790,Underground Sea
6791,Verdant Catacombs
6792,Watery Grave
6793,Windswept Heath
6794,Wooded Foothills
6795,Kodama of the East Tree
6796,Tymna the Weaver
6797,Arbor Elf
6798,Archon of Emeria
6799,Archon of Valor's Reach
6800,Avacyn's Pilgrim
6801,Aven Mindcensor
6802,Birds of Paradise
6803,Bloom Tender
6804,Collector Ouphe
6805,Corpse Knight
6806,Dark Confidant
6807,Dauthi Voidwalker
6808,Deathrite Shaman
6809,Destiny Spinner
6810,Drannith Magistrate
6811,Eidolon of Rhetoric
6812,"Elesh Norn, Grand Cenobite"
6813,Elves of Deep Shadow
6814,Elvish Mystic
6815,Endurance
6816,Esper Sentinel
6817,Eternal Witness
6818,Faeburrow Elder
6819,Fyndhorn Elves
6820,Grand Abolisher
6821,Leonin Relic-Warder
6822,"Linvala, Keeper of Silence"
6823,Llanowar Elves
6824,Oakhame Adversary
6825,Ohran Frostfang
6826,Opposition Agent
6827,Priest of Titania
6828,"Razaketh, the Foulblooded"
6829,Sylvan Safekeeper
6830,"Vilis, Broker of Blood"
6831,Culling Ritual
6832,Demonic Tutor
6833,Diabolic Intent
6834,Eldritch Evolution
6835,Finale of Devastation
6836,Imperial Seal
6837,Life // Death
6838,Reanimate
6839,Abrupt Decay
6840,Assassin's Trophy
6841,Chord of Calling
6842,Enlightened Tutor
6843,Entomb
6844,Nature's Claim
6845,Noxious Revival
6846,Silence
6847,Vampiric Tutor
6848,Veil of Summer
6849,Worldly Tutor
6850,Chrome Mox
6851,Jeweled Lotus
6852,Lion's Eye Diamond
6853,Lotus Petal
6854,Mana Crypt
6855,Mana Vault
6856,Mox Diamond
6857,Sol Ring
6858,Animate Dead
6859,Carpet of Flowers
6860,Deafening Silence
6861,Necromancy
6862,Rule of Law
6863,Survival of the Fittest
6864,Sylvan Library
6865,Utopia Sprawl
6866,Ancient Tomb
6867,Arid Mesa
6868,Bayou
6869,Bloodstained Mire
6870,Bountiful Promenade
6871,City of Brass
6872,Command Tower
6873,Exotic Orchard
6874,Flooded Strand
6875,Gaea's Cradle
6876,Godless Shrine
6877,Homeward Path
6878,Mana Confluence
6879,Marsh Flats
6880,Misty Rainforest
6881,Overgrown Tomb
6882,Phyrexian Tower
6883,Polluted Delta
6884,Savannah
6885,Scrubland
6886,Snow-Covered Forest
6887,Snow-Covered Plains
6888,Snow-Covered Swamp
6889,Temple Garden
6890,"Urborg, Tomb of Yawgmoth"
6891,Verdant Catacombs
6892,Windswept Heath
6893,"Armix, Filigree Thrasher"
6894,"Kraum, Ludevic's Opus"
6895,"Birgi, God of Storytelling"
6896,Dockside Extortionist
6897,Goblin Welder
6898,Hullbreacher
6899,Notion Thief
6900,Sidisi's Faithful
6901,Simian Spirit Guide
6902,Thassa's Oracle
6903,Burning Inquiry
6904,Demonic Tutor
6905,Diabolic Intent
6906,Faithless Looting
6907,Gamble
6908,Imperial Seal
6909,Jeska's Will
6910,Mizzix's Mastery
6911,Mnemonic Betrayal
6912,Peer into the Abyss
6913,Praetor's Grasp
6914,Rite of Flame
6915,Shatterskull Smashing
6916,Timetwister
6917,Transmute Artifact
6918,Trash for Treasure
6919,Wheel of Fortune
6920,Wheel of Misfortune
6921,Windfall
6922,Ad Nauseam
6923,Brain Freeze
6924,Brainstorm
6925,Cabal Ritual
6926,Chain of Vapor
6927,Culling the Weak
6928,Dark Ritual
6929,Deflecting Swat
6930,Demonic Consultation
6931,Entomb
6932,Fierce Guardianship
6933,Flusterstorm
6934,Force of Will
6935,Mental Misstep
6936,Mystical Tutor
6937,Pact of Negation
6938,Rain of Filth
6939,Snap
6940,Swan Song
6941,Tainted Pact
6942,Unsubstantiate
6943,Vampiric Tutor
6944,Winds of Rebuke
6945,Arcane Signet
6946,Bolas's Citadel
6947,Chrome Mox
6948,Defense Grid
6949,Fellwar Stone
6950,Grim Monolith
6951,Grinding Station
6952,Jeweled Lotus
6953,Lion's Eye Diamond
6954,Lotus Petal
6955,Mana Crypt
6956,Mana Vault
6957,Mox Diamond
6958,Mox Opal
6959,Sol Ring
6960,Talisman of Creativity
6961,Talisman of Dominance
6962,Talisman of Indulgence
6963,Wishclaw Talisman
6964,Mystic Remora
6965,Necropotence
6966,Rhystic Study
6967,Underworld Breach
6968,Ancient Tomb
6969,Arid Mesa
6970,Badlands
6971,Blood Crypt
6972,Bloodstained Mire
6973,City of Traitors
6974,Command Tower
6975,Exotic Orchard
6976,Flooded Strand
6977,Gemstone Caverns
6978,Luxury Suite
6979,Marsh Flats
6980,Misty Rainforest
6981,Morphic Pool
6982,Polluted Delta
6983,Scalding Tarn
6984,Spire of Industry
6985,Steam Vents
6986,Sunken Ruins
6987,Training Center
6988,Underground Sea
6989,Verdant Catacombs
6990,Volcanic Island
6991,Watery Grave
6992,Wooded Foothills
6993,"Yennett, Cryptic Sovereign"
6994,"Aminatou, the Fateshifter"
6995,"Jace, the Mind Sculptor"
6996,"Narset, Parter of Veils"
6997,Grand Abolisher
6998,Hullbreacher
6999,Notion Thief
7000,Opposition Agent
7001,Spellseeker
7002,Thassa's Oracle
7003,"Varragoth, Bloodsky Sire"
7004,Capture of Jingzhou
7005,Demonic Tutor
7006,Doomsday
7007,Gitaxian Probe
7008,Imperial Seal
7009,Merchant Scroll
7010,Peer into the Abyss
7011,Personal Tutor
7012,Ponder
